date,slug,name_kr,name_en,gender,monthly_listeners,followers,artist_id
2026-04-06,blackpink,블랙핑크,BLACKPINK,female,25790889,58586676,41MozSoPIsD1dJM0CLPjZF
2026-04-06,aespa,에스파,aespa,female,9761259,,6YVMFz59CuY7ngCxTxjpxE
2026-04-06,i-dle,아이들,i-dle,female,7090821,,2AfmfGFbe0A0WsTYm0SDTx
2026-04-06,red-velvet,레드벨벳,Red Velvet,female,5972459,,1z4g3DjTBBZKhvAroFlhOM
2026-04-06,newjeans,뉴진스,NewJeans,female,13711905,,6HvZYsbFfjnjFrWF950C9d
2026-04-06,twice,트와이스,TWICE,female,16690358,,7n2Ycct7Beij7Dj7meI4X0
2026-04-06,ive,아이브,IVE,female,7556559,,6RHTUrRF63xao58xh9FXYJ
2026-04-06,babymonster,베이비몬스터,BABYMONSTER,female,7166494,,1SIocsqdEefUTE6XKGUiVS
2026-04-06,le-sserafim,르세라핌,LE SSERAFIM,female,14503812,,4SpbR6yFEvexJuaBpgAU5p
2026-04-06,illit,아일릿,ILLIT,female,12734934,,36cgvBn0aadzOijnjjwqMN
2026-04-06,fifty-fifty,피프티피프티,FIFTY FIFTY,female,6136877,,4GJ6xDCF5jaUqD6avOuQT6
2026-04-06,hearts2hearts,하츠투하츠,Hearts2Hearts,female,8195095,,1ZLU77nRzQIaP23mVSYpCQ
2026-04-06,bts,방탄소년단,BTS,male,41834590,,3Nrfpe0tUJi4K4DXYWgMUX
2026-04-06,stray-kids,스트레이키즈,Stray Kids,male,11048901,,2dIgFjalVxs4ThymZ67YCE
2026-04-06,txt,투모로우바이투게더,TXT,male,6397279,,0ghlgldX5Dd6720Q3qFyQB
2026-04-06,enhypen,엔하이픈,ENHYPEN,male,10436090,,5t5FqBwTcgKTaWmfEbwQY9
2026-04-06,cortis,코르티스,CORTIS,male,7230647,,1ebt9HnXdyYA6KgLXr1n4P
2026-04-13,blackpink,블랙핑크,BLACKPINK,female,25122185,58698620,41MozSoPIsD1dJM0CLPjZF
2026-04-13,aespa,에스파,aespa,female,9707531,,6YVMFz59CuY7ngCxTxjpxE
2026-04-13,i-dle,아이들,i-dle,female,7017502,,2AfmfGFbe0A0WsTYm0SDTx
2026-04-13,red-velvet,레드벨벳,Red Velvet,female,6144184,,1z4g3DjTBBZKhvAroFlhOM
2026-04-13,newjeans,뉴진스,NewJeans,female,13912961,,6HvZYsbFfjnjFrWF950C9d
2026-04-13,twice,트와이스,TWICE,female,16762140,,7n2Ycct7Beij7Dj7meI4X0
2026-04-13,ive,아이브,IVE,female,7521568,,6RHTUrRF63xao58xh9FXYJ
2026-04-13,babymonster,베이비몬스터,BABYMONSTER,female,7177857,,1SIocsqdEefUTE6XKGUiVS
2026-04-13,le-sserafim,르세라핌,LE SSERAFIM,female,14472887,,4SpbR6yFEvexJuaBpgAU5p
2026-04-13,illit,아일릿,ILLIT,female,12773314,,36cgvBn0aadzOijnjjwqMN
2026-04-13,fifty-fifty,피프티피프티,FIFTY FIFTY,female,6177607,,4GJ6xDCF5jaUqD6avOuQT6
2026-04-13,hearts2hearts,하츠투하츠,Hearts2Hearts,female,8699292,,1ZLU77nRzQIaP23mVSYpCQ
2026-04-13,bts,방탄소년단,BTS,male,45095386,,3Nrfpe0tUJi4K4DXYWgMUX
2026-04-13,stray-kids,스트레이키즈,Stray Kids,male,11103649,,2dIgFjalVxs4ThymZ67YCE
2026-04-13,txt,투모로우바이투게더,TXT,male,6426401,,0ghlgldX5Dd6720Q3qFyQB
2026-04-13,enhypen,엔하이픈,ENHYPEN,male,10240824,,5t5FqBwTcgKTaWmfEbwQY9
2026-04-13,cortis,코르티스,CORTIS,male,7207302,,1ebt9HnXdyYA6KgLXr1n4P
2026-04-20,blackpink,블랙핑크,BLACKPINK,female,24476085,,41MozSoPIsD1dJM0CLPjZF
2026-04-20,aespa,에스파,aespa,female,9689726,,6YVMFz59CuY7ngCxTxjpxE
2026-04-20,i-dle,아이들,i-dle,female,6939248,,2AfmfGFbe0A0WsTYm0SDTx
