date,video_id,group,title,published,views,likes,comments,is_mv,duration
2026-03-10,t8GpsNkSEZU,KickFlip,KickFlip B-roll “스텔라 떡볶이 AD” Behind,2026-03-08,13144,2191,150,False,741
2026-03-10,LdU_6P5Vdsk,KickFlip,계훈아 (데뷔해서) 계훈하니?  | JYP 입사 10주년 기념 | KickFlip(킥플립),2026-03-07,72190,6905,615,False,2422
2026-03-10,lEZGR4-SnzA,KickFlip,[Kick-Log] 칠리크랩은 그랩감(?)이 좋거든요🦀 싱가포르 먹방&산책🦁 | 싱가포르 Vlog - KickFlip(킥플립),2026-03-06,21475,2600,172,False,1046
2026-03-10,ptYINC9PKtI,KickFlip,‘Painkiller - Ruel’ Cover by KYEHOON of KickFlip | Monthly KickFlip,2026-03-04,30509,4884,598,False,899
2026-03-10,8IoFfZC9liU,DRIPPIN,[D:LOG] 아직 우리는 보내줄 준비가 안됐다 | 쫀쿠 삼형제=두쫀쿠 아쫀쿠 마쫀쿠 | 예쁘니즈🐹🐶,2026-03-09,712,160,22,False,441
2026-03-10,9G_BLXxu_d8,DRIPPIN,DRIPPIN '고백' 🌹 Cover | 차준호,2026-03-07,2331,386,51,False,182
2026-03-10,S30Zg85n1AA,NEXZ,[NEX2U(넥투유)] EP.07 HARU x SEITA,2026-03-09,14345,2881,232,False,904
2026-03-10,xCaIdggn3SY,NEXZ,[NEXZ(넥스지) VLOG] HARU VLOG | 하루의 하루 종일🐻‍❄💫 #3 | 아라시야마 산책하고 글램핑 가고 행복만 꾹꾹 눌러 담은 하루의 휴가₊⋆ ☾ ⋆⁺,2026-03-07,27249,3489,296,False,1716
2026-03-10,40_Xd02NA1Q,NEXZ,내가 왔다 🐻‍❄️,2026-03-06,39170,4503,267,False,4226
2026-03-10,FFb6PQydKNc,NEXZ,[JP BEHIND] #24 NEXZ×CanCam Shooting,2026-03-05,20945,3014,165,False,631
2026-03-10,-FpnpHwBW64,NEXZ,[REAL NEXZ(리얼 넥스지)] EP.56 눈 위의 복불복 #2,2026-03-04,41221,4656,383,False,1996
2026-03-10,QV2xx4-hkuA,8TURN,8TURN (에잇턴) ‘BRUISE(불씨)’ Choreography Video (Character ver.),2026-03-09,2646,546,81,False,236
