gender,name,name_en,tiktok_url
여자,뉴진스,NewJeans,https://www.tiktok.com/@newjeans_official
여자,드림캐쳐,Dreamcatcher,https://www.tiktok.com/@official_dreamcatcher
여자,라임라이트,LIMELIGHT,https://www.tiktok.com/@limelightseoul
여자,러브원,LOVEONE,https://www.tiktok.com/@loveone_tik
여자,레드벨벳,Red Velvet,https://www.tiktok.com/@redvelvet_smtown
여자,로켓펀치,Rocket Punch,https://www.tiktok.com/@official_rocketpunch
여자,루셈블,Loossemble,https://www.tiktok.com/@loossemble_official
여자,르세라핌,LE SSERAFIM,https://www.tiktok.com/@le_sserafim
여자,리센느,RESCENE,https://www.tiktok.com/@rescene_official
여자,마마무,MAMAMOO,https://www.tiktok.com/@official_mamamoo
여자,메이딘,MADEIN,https://www.tiktok.com/@madein_u
여자,미야오,MEOVV,https://www.tiktok.com/@meovv_official
여자,배드빌런,BADVILLAIN,https://www.tiktok.com/@badvillain_bpm
여자,버비,Burvey,https://www.tiktok.com/@official_burvey
여자,베이비돈크라이,Baby DONT Cry,https://www.tiktok.com/@babydontcry.official
여자,베이비몬스터,BABYMONSTER,https://www.tiktok.com/@babymonster_yg_tiktok
여자,블랙스완,BLACKSWAN,https://www.tiktok.com/@blackswan__official
여자,블랙핑크,BLACKPINK,https://www.tiktok.com/@bp_tiktok
여자,븨븨에스,VVS,https://www.tiktok.com/@vvs_mzmc
여자,비비지,VIVIZ,https://www.tiktok.com/@viviz_bpm
여자,비웨이브,BEWAVE,https://www.tiktok.com/@bewave_official
여자,빌리,Billlie,https://www.tiktok.com/@billlie.official
여자,세이마이네임,SMN,https://www.tiktok.com/@sa2m2nam3
여자,수피아,SPIA,https://www.tiktok.com/@spia_official
여자,스모즈,SMORZ,https://www.tiktok.com/@smorz_official_
여자,스테이씨,STAYC,https://www.tiktok.com/@stayc_official
여자,시그니처,cignature,https://www.tiktok.com/@cignature_j9
여자,시크릿넘버,SECRET NUMBER,https://www.tiktok.com/@secretnumber.official
여자,아르테미스,ARTMS,https://www.tiktok.com/@official_artms
여자,아이들,i-dle,https://www.tiktok.com/@official_i_dle
여자,아이딧,IDID,https://www.tiktok.com/@idid_starship
여자,아이리스,IRRIS,https://www.tiktok.com/@irris_offcl
여자,아이리제,IRISÉ,https://www.tiktok.com/@official_irise
여자,아이몬드,I:MOND,https://www.tiktok.com/@i.mond_official
여자,아이브,IVE,https://www.tiktok.com/@ive.official
여자,아이칠린,ICHILLIN',https://www.tiktok.com/@ichillin_km
여자,아일리원,ILY:1,https://www.tiktok.com/@fcenm_ily1
여자,아일릿,ILLIT,https://www.tiktok.com/@illit_official
여자,아트비트,ARTBEAT v,https://www.tiktok.com/@artbeat.official
여자,앳하트,AtHeart,https://www.tiktok.com/@atheart.titan
여자,어블룸,ablume,https://www.tiktok.com/@ablume_official
여자,언차일드,UNCHILD,https://www.tiktok.com/@official_unchild
여자,에버글로우,EVERGLOW,https://www.tiktok.com/@everglowofficial
여자,에스투잇,S2IT,https://www.tiktok.com/@s2it_official
